"schedule_key","team_id","opponent_team_id","is_home","points","fgm","fga","fg_pct","fg2m","fg2a","fg2_pct","fg3m","fg3a","fg3_pct","ftm","fta","ft_pct","off_rebounds","def_rebounds","total_rebounds","assists","steals","blocks","blocks_received","turnovers","fouls","fouls_drawn","dunks","fast_break_points","second_chance_points","points_in_paint","possession","pace","off_rtg","def_rtg","net_rtg","ast_rtg","tov_rtg","pft_rtg","scp_rtg","efg_pct","ts_pct","ast_pct","tov_pct","ast_tov_ratio","play_pct","ft_d_pct","ft_freq","ft_rate","orb_pct","drb_pct","pft_pct","fbp_pct","scp_pct","pitp_pct","perimeter_pts_pct","pt2_attempt_pct","pt3_attempt_pct","pt2_points_share","pt3_points_share","ft_points_share","live_tov_pct","dead_tov_pct","live_tov_share","dead_tov_share","shot_chances","off_success_count","or_chances","dr_chances","tom","eff","vps","home_efg_pct","away_efg_pct","home_ts_pct","away_ts_pct","home_off_rtg","away_off_rtg","close_win_3pts_or_less","close_loss_3pts_or_less","pythagorean_win_pct","opp_possession","opp_efg_pct","opp_ts_pct","opp_fg2_pct","opp_fg3_pct","opp_pt2_attempt_pct","opp_pt3_attempt_pct","opp_pt2_points_share","opp_pt3_points_share","opp_ft_points_share","opp_ast_pct","opp_ast_tov_ratio","opp_ast_rtg","opp_tov_pct","opp_orb_pct","opp_drb_pct","opp_shot_chances","opp_success_count","opp_ft_d_pct","opp_ft_rate","opp_fbp_pct","opp_scp_pct","opp_scp_rtg","opp_pitp_pct","opp_perimeter_pts_pct","opp_pft_pct","opp_pft_rtg","opp_vps","home_opp_efg_pct","away_opp_efg_pct","home_opp_ts_pct","away_opp_ts_pct","created_at","updated_at"
505210,"692","729",true,83,32,69,0.4638,21,39,0.5385,11,30,0.3667,8,12,0.6667,13,32,45,17,8,4,5,15,17,18,,11,21,40,77.4635,77.4635,107.1472,95.5289,11.6184,21.9458,19.3640,1.0667,1.6154,0.5435,0.5587,53.1250,16.8011,1.1333,0.4131,,0.2423,0.1739,33.3333,65.3061,0.1928,0.1325,0.2530,0.4819,,0.5250,0.4039,0.5060,0.3976,0.0964,,,,,89.2800,,,,,101.0000,,,,,,,,0,0,,77.4635,0.4467,0.4510,0.4651,0.2813,0.5241,0.3901,0.5405,0.3649,0.0946,58.6207,1.1333,21.9458,15.4575,34.6939,66.6667,97.0400,,,,0.3108,0.1351,0.5882,0.4865,,0.2297,1.1333,,,,,,2026-08-18 19:00:13.403 +0900,2026-08-18 19:00:13.403 +0900
505210,"729","692",false,74,29,75,0.3867,20,43,0.4651,9,32,0.2813,7,16,0.4375,17,26,43,17,10,5,4,15,18,16,,23,10,36,77.4635,77.4635,95.5289,107.1472,-11.6184,21.9458,19.3640,1.1333,0.5882,0.4467,0.4510,58.6207,15.4575,1.1333,0.3744,,0.1950,0.2133,34.6939,66.6667,0.2297,0.3108,0.1351,0.4865,,0.5241,0.3901,0.5405,0.3649,0.0946,,,,,97.0400,,,,,79.0000,,,,,,,,0,0,,77.4635,0.5435,0.5587,0.5385,0.3667,0.5250,0.4039,0.5060,0.3976,0.0964,53.1250,1.1333,21.9458,16.8011,33.3333,65.3061,89.2800,,,,0.1325,0.2530,1.6154,0.4819,,0.1928,1.0667,,,,,,2026-08-18 19:00:13.403 +0900,2026-08-18 19:00:13.403 +0900
505212,"693","712",true,86,32,71,0.4507,23,41,0.5610,9,30,0.3000,13,22,0.5909,17,25,42,24,5,0,2,7,20,21,,12,13,44,68.9078,68.9078,124.8045,126.2557,-1.4512,34.8292,10.1585,1.3000,0.7647,0.5141,0.5330,75.0000,7.9836,3.4286,0.4644,,0.2603,0.3099,43.5897,86.2069,0.1512,0.1395,0.1512,0.5116,,0.5082,0.3718,0.5349,0.3140,0.1512,,,,,87.6800,,,,,102.0000,,,,,,,,0,1,,68.9078,0.7182,0.6866,0.5484,0.6250,0.4893,0.3788,0.3908,0.5172,0.0920,65.6250,2.1000,30.4755,13.6314,13.7931,56.4103,73.3600,,,,0.1264,0.0805,1.7500,0.3448,,0.0690,0.8571,,,,,,2026-08-18 19:00:13.403 +0900,2026-08-18 19:00:13.403 +0900
505212,"712","693",false,87,32,55,0.5818,17,31,0.5484,15,24,0.6250,8,19,0.4211,4,22,26,21,4,2,0,10,21,20,,11,7,30,68.9078,68.9078,126.2557,124.8045,1.4512,30.4755,14.5122,0.8571,1.7500,0.7182,0.6866,65.6250,13.6314,2.1000,0.4644,,0.3157,0.3455,13.7931,56.4103,0.0690,0.1264,0.0805,0.3448,,0.4893,0.3788,0.3908,0.5172,0.0920,,,,,73.3600,,,,,96.0000,,,,,,,,1,0,,68.9078,0.5141,0.5330,0.5610,0.3000,0.5082,0.3718,0.5349,0.3140,0.1512,75.0000,3.4286,34.8292,7.9836,43.5897,86.2069,87.6800,,,,0.1395,0.1512,0.7647,0.5116,,0.1512,1.3000,,,,,,2026-08-18 19:00:13.403 +0900,2026-08-18 19:00:13.403 +0900
505224,"696","702",true,115,45,78,0.5769,36,55,0.6545,9,23,0.3913,16,28,0.5714,15,17,32,28,12,0,3,6,26,26,,19,23,66,80.9519,80.9519,142.0597,114.8831,27.1766,34.5885,7.4118,1.1739,1.5333,0.6346,0.6366,62.2222,6.2292,4.6667,0.5559,,0.2879,0.3590,37.5000,50.0000,0.2348,0.1652,0.2000,0.5739,,0.6089,0.2547,0.6261,0.2348,0.1391,,,,,96.3200,,,,,136.0000,,,,,,,,0,0,,80.9519,0.5476,0.6138,0.4667,0.5000,0.5940,0.2376,0.4516,0.2903,0.2581,66.6667,0.8696,24.7060,23.2888,50.0000,62.5000,98.7600,,,,0.1613,0.1935,1.0588,0.4301,,0.0753,1.1667,,,,,,2026-08-18 19:00:13.403 +0900,2026-08-18 19:00:13.403 +0900
505224,"702","696",false,93,30,63,0.4762,21,45,0.4667,9,18,0.5000,24,29,0.8276,17,25,42,20,3,3,0,23,27,25,,15,18,40,80.9519,80.9519,114.8831,142.0597,-27.1766,24.7060,28.4119,1.1667,1.0588,0.5476,0.6138,66.6667,23.2888,0.8696,0.3706,,0.3300,0.4603,50.0000,62.5000,0.0753,0.1613,0.1935,0.4301,,0.5940,0.2376,0.4516,0.2903,0.2581,,,,,98.7600,,,,,100.0000,,,,,,,,0,0,,80.9519,0.6346,0.6366,0.6545,0.3913,0.6089,0.2547,0.6261,0.2348,0.1391,62.2222,4.6667,34.5885,6.2292,37.5000,50.0000,96.3200,,,,0.1652,0.2000,1.5333,0.5739,,0.2348,1.1739,,,,,,2026-08-18 19:00:13.403 +0900,2026-08-18 19:00:13.403 +0900
505230,"698","721",true,89,30,69,0.4348,17,31,0.5484,13,38,0.3421,16,22,0.7273,17,15,32,23,7,0,4,10,24,22,,8,21,28,70.4964,70.4964,126.2475,147.5252,-21.2777,32.6258,14.1851,1.2727,1.2353,0.5290,0.5656,76.6667,11.2765,2.3000,0.4256,,0.2796,0.3188,40.4762,53.5714,0.1573,0.0899,0.2360,0.3146,,0.3940,0.4830,0.3820,0.4382,0.1798,,,,,88.6800,,,,,96.0000,,,,,,,,0,0,,70.4964,0.6855,0.7123,0.7667,0.4063,0.4110,0.4384,0.4423,0.3750,0.1827,69.4444,2.2727,35.4628,13.0952,46.4286,59.5238,84.0000,,,,0.0865,0.1923,1.5385,0.4231,,0.1538,1.6000,,,,,,2026-08-18 19:00:13.403 +0900,2026-08-18 19:00:13.403 +0900
505230,"721","698",false,104,36,62,0.5806,23,30,0.7667,13,32,0.4063,19,25,0.7600,13,25,38,25,6,4,0,11,22,24,,9,20,44,70.4964,70.4964,147.5252,126.2475,21.2777,35.4628,15.6036,1.6000,1.5385,0.6855,0.7123,69.4444,13.0952,2.2727,0.5107,,0.3288,0.4032,46.4286,59.5238,0.1538,0.0865,0.1923,0.4231,,0.4110,0.4384,0.4423,0.3750,0.1827,,,,,84.0000,,,,,134.0000,,,,,,,,0,0,,70.4964,0.5290,0.5656,0.5484,0.3421,0.3940,0.4830,0.3820,0.4382,0.1798,76.6667,2.3000,32.6258,11.2765,40.4762,53.5714,88.6800,,,,0.0899,0.2360,1.2353,0.3146,,0.1573,1.2727,,,,,,2026-08-18 19:00:13.403 +0900,2026-08-18 19:00:13.403 +0900
505234,"720","728",true,75,26,69,0.3768,13,35,0.3714,13,34,0.3824,10,17,0.5882,12,31,43,19,9,0,1,16,24,19,,7,9,26,79.2250,70.4222,94.6671,99.7160,-5.0489,23.9823,20.1956,1.0714,0.7500,0.4710,0.4903,73.0769,17.3010,1.1875,0.3282,,0.2484,0.2464,27.9070,70.4545,0.2000,0.0933,0.1200,0.3467,,0.4576,0.4446,0.3467,0.5200,0.1333,,,,,92.4800,,,,,80.0000,,,,,,,,0,0,,79.2250,0.4437,0.4923,0.5143,0.2500,0.4362,0.4487,0.4557,0.3418,0.2025,74.0741,1.4286,25.2446,14.8557,29.5455,72.0930,94.2400,,,,0.1392,0.1013,0.6154,0.4304,,0.2785,1.3750,,,,,,2026-08-18 19:00:13.403 +0900,2026-08-18 19:00:13.403 +0900
505234,"728","720",false,79,27,71,0.3803,18,35,0.5143,9,36,0.2500,16,21,0.7619,13,31,44,20,6,1,0,14,19,24,,11,8,34,79.2250,70.4222,99.7160,94.6671,5.0489,25.2446,17.6712,1.3750,0.6154,0.4437,0.4923,74.0741,14.8557,1.4286,0.3408,,0.2991,0.2958,29.5455,72.0930,0.2785,0.1392,0.1013,0.4304,,0.4362,0.4487,0.4557,0.3418,0.2025,,,,,94.2400,,,,,87.0000,,,,,,,,0,0,,79.2250,0.4710,0.4903,0.3714,0.3824,0.4576,0.4446,0.3467,0.5200,0.1333,73.0769,1.1875,23.9823,17.3010,27.9070,70.4545,92.4800,,,,0.0933,0.1200,0.7500,0.3467,,0.2000,1.0714,,,,,,2026-08-18 19:00:13.403 +0900,2026-08-18 19:00:13.403 +0900
